Year;Rank;School;Location;Median_VCE_Score
2013;13;Apollo Bay P-12 College;Apollo Bay;27
2013;14;Aquinas College;Ringwood;31
2013;15;Ararat College;Ararat;23
2013;16;Ashwood High School;Ashwood;30
2013;17;Assumption College;Kilmore;30
2013;18;Australian International Academy Coburg;North Coburg;27
2013;19;Austurk Saturday Turkish School;Gladstone Park;N/A
2013;20;Ave Maria College;Aberfeldie;32
2013;21;Avila College;Mount Waverley;32
2013;22;Bacchus Marsh College;Bacchus Marsh;25
2013;23;Bacchus Marsh Grammar;Bacchus Marsh;32
2013;24;Baimbridge College;Hamilton;26
2013;25;Bairnsdale Secondary College;Bairnsdale;27
2013;26;Balcombe Grammar School;Mount Martha;30
2013;27;Ballarat Christian College;Sebastopol;29
2013;28;Ballarat Clarendon College;Ballarat;36
2013;29;Ballarat Grammar School;Wendouree;33
2013;30;Ballarat High School;Ballarat;26
2013;31;Balmoral Community College;Balmoral;29
2013;32;Balwyn High School;Balwyn North;34
2013;33;Bayside Christian College;Langwarrin South;31
2013;34;Bayside College Paisley Campus;Newport;27
2013;35;Bayswater Secondary College;Bayswater;23
2013;36;Bayview College;Portland;27
2013;37;BDC Dance;Ashwood;N/A
2013;38;Beaconhills College Berwick;Berwick;30
2013;39;Beaconhills College Pakenham;Pakenham;31
2013;40;Beaufort Secondary College;Beaufort;25
2013;41;Beechworth Secondary College;Beechworth;27
2013;42;Belgrave Heights Christian School;Belgrave Heights;29
2013;43;Bellarine Secondary College;Drysdale;27
2013;44;Belmont High School;Belmont;28
2013;45;Benalla P-12 College;Benalla;28
2013;46;Bendigo Regional Institute of TAFE;Bendigo;0
2013;47;Bendigo Senior Secondary College;Bendigo;28
2013;48;Bentleigh Secondary College;Bentleigh East;29
2013;49;Berry Street Victoria;Richmond;0
2013;50;Berwick Secondary College;Berwick;30
2013;201;Greek Language School Mathesi;Vermont South;N/A
2013;202;Greek Orthodox Community of Melbourne and Victoria;Melbourne;N/A
2013;203;Greek Orthodox Community of Mentone and Districts;Mentone;N/A
2013;204;Greensborough Secondary College;Greensborough;26
2013;205;Grovedale College;Grovedale;28
2013;206;Haileybury Chengdu Shude High School;Chengdu, China;N/A
2013;207;Haileybury College;Keysborough;34
2013;208;Haileybury Girls College;Keysborough;36
2013;209;Haileybury Jiangyan No 2 High School;Jiangyan, China;N/A
2013;210;Haileybury Li Hui High School;China;N/A
2013;211;Haileybury Qingdao No 19 High School;Qingdao, China;N/A
2013;212;Haileybury Wuhan Foreign Language School;Wuhan, China;N/A
2013;213;Hallam Secondary College;Hallam;23
2013;214;Hampton Park Secondary College;Hampton Park;24
2013;215;Hawkesdale College;Hawkesdale;29
2013;216;Hawthorn Secondary College;Hawthorn East;26
2013;217;Healesville High School;Healesville;25
2013;218;Heathdale Christian College;Werribee;30
2013;219;Heatherton Christian College;Clarinda;30
2013;220;Heathmont College;Heathmont;27
2013;221;Heritage College Officer;Officer;26
2013;222;Heywood and District Secondary College;Heywood;27
2013;223;Highvale Secondary College;Glen Waverley;31
2013;224;Highview Christian Community College;Maryborough;28
2013;225;Hillcrest Christian College;Clyde North;30
2013;226;Holmes Secondary College;Melbourne;26
